district,borough,population,area_km2,population_density,under_18_percent,over_64_percent,unemployment_share_percent_dec_2024,sgb2_share_percent_dec_2024,avg_income_per_taxpayer_2021_eur,general_practitioners_jan_2025,pharmacies_dec_2024,private_cars_per_1000_jan_2025,electric_cars_jan_2025
Altona-Altstadt,Altona,29680,2.7,10993,14.9,13.8,8.3,11.4,42848,54,7,218,420
Sternschanze,Altona,7669,0.5,15338,12.9,11.0,7.1,7.9,41402,6,3,186,99
Altona-Nord,Altona,26777,2.2,12171,16.5,10.6,7.0,9.6,43079,6,4,208,164
Ottensen,Altona,35925,2.8,12830,14.7,15.7,5.7,5.5,53126,27,9,257,475
Bahrenfeld,Altona,31051,10.5,2957,17.1,13.3,7.9,12.1,45280,12,2,273,878
Groß Flottbek,Altona,11319,2.4,4716,19.7,20.8,2.6,1.2,137079,13,4,414,211
Othmarschen,Altona,16528,5.9,2801,20.3,20.6,3.3,3.5,122246,8,2,415,1371
Lurup,Altona,37755,6.3,5993,20.4,18.0,8.5,14.7,35445,18,4,321,345
Osdorf,Altona,26601,7.3,3644,19.5,21.6,7.0,11.2,58530,18,5,349,301
Nienstedten,Altona,7062,4.4,1605,17.9,26.7,2.4,1.0,168404,2,2,502,201
Blankenese,Altona,13487,7.7,1752,17.5,27.9,2.6,1.3,158334,20,4,489,299
Iserbrook,Altona,11523,2.7,4268,17.8,25.0,4.5,5.6,53159,4,0,391,128
Sülldorf,Altona,9330,5.7,1637,19.1,21.8,6.0,8.7,56862,8,2,392,149
Rissen,Altona,16429,16.7,984,19.1,28.1,4.6,6.1,81336,8,4,425,317
