metric,rank,district,value,unit,reporting_period
population,1,Lurup,37755.0,persons,2024
population,2,Ottensen,35925.0,persons,2024
population,3,Bahrenfeld,31051.0,persons,2024
population,4,Altona-Altstadt,29680.0,persons,2024
population,5,Altona-Nord,26777.0,persons,2024
population,6,Osdorf,26601.0,persons,2024
population,7,Othmarschen,16528.0,persons,2024
population,8,Rissen,16429.0,persons,2024
population,9,Blankenese,13487.0,persons,2024
population,10,Iserbrook,11523.0,persons,2024
population,11,Groß Flottbek,11319.0,persons,2024
population,12,Sülldorf,9330.0,persons,2024
population,13,Sternschanze,7669.0,persons,2024
population,14,Nienstedten,7062.0,persons,2024
population_density,1,Sternschanze,15338.0,residents_per_km2,2024
population_density,2,Ottensen,12830.0,residents_per_km2,2024
population_density,3,Altona-Nord,12171.0,residents_per_km2,2024
population_density,4,Altona-Altstadt,10993.0,residents_per_km2,2024
population_density,5,Lurup,5993.0,residents_per_km2,2024
population_density,6,Groß Flottbek,4716.0,residents_per_km2,2024
population_density,7,Iserbrook,4268.0,residents_per_km2,2024
population_density,8,Osdorf,3644.0,residents_per_km2,2024
population_density,9,Bahrenfeld,2957.0,residents_per_km2,2024
population_density,10,Othmarschen,2801.0,residents_per_km2,2024
population_density,11,Blankenese,1752.0,residents_per_km2,2024
population_density,12,Sülldorf,1637.0,residents_per_km2,2024
population_density,13,Nienstedten,1605.0,residents_per_km2,2024
population_density,14,Rissen,984.0,residents_per_km2,2024
average_income_per_taxpayer,1,Nienstedten,168404.0,EUR,2021
average_income_per_taxpayer,2,Blankenese,158334.0,EUR,2021
average_income_per_taxpayer,3,Groß Flottbek,137079.0,EUR,2021
average_income_per_taxpayer,4,Othmarschen,122246.0,EUR,2021
average_income_per_taxpayer,5,Rissen,81336.0,EUR,2021
average_income_per_taxpayer,6,Osdorf,58530.0,EUR,2021
average_income_per_taxpayer,7,Sülldorf,56862.0,EUR,2021
average_income_per_taxpayer,8,Iserbrook,53159.0,EUR,2021
average_income_per_taxpayer,9,Ottensen,53126.0,EUR,2021
average_income_per_taxpayer,10,Bahrenfeld,45280.0,EUR,2021
average_income_per_taxpayer,11,Altona-Nord,43079.0,EUR,2021
average_income_per_taxpayer,12,Altona-Altstadt,42848.0,EUR,2021
average_income_per_taxpayer,13,Sternschanze,41402.0,EUR,2021
average_income_per_taxpayer,14,Lurup,35445.0,EUR,2021
unemployment_share,1,Lurup,8.5,percent,2024-12
unemployment_share,2,Altona-Altstadt,8.3,percent,2024-12
unemployment_share,3,Bahrenfeld,7.9,percent,2024-12
unemployment_share,4,Sternschanze,7.1,percent,2024-12
unemployment_share,5,Osdorf,7.0,percent,2024-12
unemployment_share,6,Altona-Nord,7.0,percent,2024-12
unemployment_share,7,Sülldorf,6.0,percent,2024-12
unemployment_share,8,Ottensen,5.7,percent,2024-12
